d,sigma,theta,k
0.0066,0.05,0.5,0
0.0072,0.05,0.5,0
0.0037,0.05,0.5,0
0.00749999,0.05,0.5,0
0.0054,0.05,0.5,0
0.0052,0.05,0.5,0
0.0026,0.05,0.5,0
0.004,0.05,0.5,0
0.007,0.05,0.5,0
0.00919999,0.05,0.5,0
0.0071,0.05,0.5,0
0.0068,0.05,0.5,0
0.005,0.05,0.5,0
0.0035,0.05,0.5,0
0.0029,0.05,0.5,0
0.0056,0.05,0.5,0
0.00759999,0.05,0.5,0
0.0039,0.05,0.5,0
0.0061,0.05,0.5,0
0.0024,0.05,0.5,0
0.004,0.05,0.5,0
0.0032,0.05,0.5,0
0.00789999,0.05,0.5,0
0.0034,0.05,0.5,0
0.0049,0.05,0.5,0
0.0049,0.05,0.5,0
0.0047,0.05,0.5,0
0.0026,0.05,0.5,0
0.0042,0.05,0.5,0
0.0045,0.05,0.5,0
0.0043,0.05,0.5,0
0.0018,0.05,0.5,0
0.0028,0.05,0.5,0
0.0045,0.05,0.5,0
0.005,0.05,0.5,0
0.0056,0.05,0.5,0
0.0042,0.05,0.5,0
0.0032,0.05,0.5,0
0.0026,0.05,0.5,0
0.0025,0.05,0.5,0
0.005,0.05,0.5,0
0.0063,0.05,0.5,0
0.0021,0.05,0.5,0
0.004,0.05,0.5,0
0.0001,0.05,0.5,0
0.0028,0.05,0.5,0
0.002,0.05,0.5,0
0.0059,0.05,0.5,0
0.0027,0.05,0.5,0
0.004,0.05,0.5,0
