d,sigma,theta,k
0.0032,0.07,0.25,0
0.0034,0.065,0.3,0
0.0017,0.065,0.25,0
0.0035,0.06,0.35,0
0.0028,0.075,0.05,0
0.0026,0.08,0.1,0
0.0011,0.055,0.4,0
0.0021,0.075,0.05,0
0.0028,0.075,0.7,0
0.0039,0.075,0.65,0
0.0038,0.1,0.05,0
0.0028,0.07,0.55,0
0.0023,0.07,0.35,0
0.0016,0.065,0.35,0
0.0013,0.07,0.35,0
0.0028,0.085,0.2,0
0.0039,0.09,0.1,0
0.0019,0.055,0.2,0
0.003,0.08,0.25,0
0.0011,0.075,0.4,0
0.0016,0.07,0.55,0
0.0014,0.065,0.35,0
0.0042,0.085,0,0
0.0018,0.06,0,0
0.0025,0.09,0.25,0
0.0036,0.07,0.25,0
0.004,0.065,0.3,0
0.0017,0.065,0.25,0
0.0033,0.06,0.35,0
0.0028,0.075,0.05,0
0.0028,0.08,0.1,0
0.001,0.055,0.4,0
0.002,0.075,0.05,0
0.0032,0.075,0.7,0
0.0033,0.075,0.65,0
0.0034,0.1,0.05,0
0.0035,0.07,0.55,0
0.0026,0.07,0.35,0
0.002,0.065,0.35,0
0.0017,0.07,0.35,0
0.0032,0.085,0.2,0
0.0043,0.09,0.1,0
0.0015,0.055,0.2,0
0.0034,0.08,0.25,0
0.0007,0.075,0.4,0
0.0021,0.07,0.55,0
0.0014,0.065,0.35,0
0.0048,0.085,0,0
0.0016,0.06,0,0
0.0021,0.09,0.25,0
