trial,choice,rt,valueLeft,valueRight,fixItem,fixTime
31,-1,2750,3,0,2,340
31,-1,2750,3,0,0,70
31,-1,2750,3,0,1,570
31,-1,2750,3,0,0,80
31,-1,2750,3,0,2,810
31,-1,2750,3,0,0,50
31,-1,2750,3,0,1,510
32,1,1520,3,4,0,350
32,1,1520,3,4,1,350
32,1,1520,3,4,0,70
32,1,1520,3,4,2,300
32,1,1520,3,4,0,80
32,1,1520,3,4,1,370
33,1,760,3,3,0,180
33,1,760,3,3,1,390
33,1,760,3,3,0,70
33,1,760,3,3,2,120
34,1,2310,3,5,0,200
34,1,2310,3,5,1,230
34,1,2310,3,5,0,70
34,1,2310,3,5,2,260
34,1,2310,3,5,0,80
34,1,2310,3,5,1,980
34,1,2310,3,5,0,50
34,1,2310,3,5,2,440
35,1,330,3,4,0,210
35,1,330,3,4,2,120
36,-1,1690,3,0,0,210
36,-1,1690,3,0,1,210
36,-1,1690,3,0,0,70
36,-1,1690,3,0,2,840
36,-1,1690,3,0,0,80
36,-1,1690,3,0,1,250
36,-1,1690,3,0,0,30
37,-1,2330,3,4,0,180
37,-1,2330,3,4,1,470
37,-1,2330,3,4,0,70
37,-1,2330,3,4,2,740
37,-1,2330,3,4,0,80
37,-1,2330,3,4,1,790
38,1,2830,3,5,0,310
38,1,2830,3,5,1,150
38,1,2830,3,5,0,70
38,1,2830,3,5,2,560
38,1,2830,3,5,0,80
38,1,2830,3,5,1,1460
38,1,2830,3,5,0,50
38,1,2830,3,5,2,150
39,1,3130,3,2,0,330
39,1,3130,3,2,1,340
39,1,3130,3,2,0,70
39,1,3130,3,2,2,420
39,1,3130,3,2,0,80
39,1,3130,3,2,1,360
39,1,3130,3,2,0,50
39,1,3130,3,2,2,530
39,1,3130,3,2,0,70
39,1,3130,3,2,1,350
39,1,3130,3,2,0,80
39,1,3130,3,2,2,450
40,1,810,3,5,0,250
40,1,810,3,5,1,190
40,1,810,3,5,0,70
40,1,810,3,5,2,300
41,1,760,3,5,0,250
41,1,760,3,5,1,220
41,1,760,3,5,0,70
41,1,760,3,5,2,220
42,-1,1910,3,6,0,1580
42,-1,1910,3,6,1,330
43,-1,1820,3,0,0,230
43,-1,1820,3,0,1,170
43,-1,1820,3,0,0,70
43,-1,1820,3,0,2,300
43,-1,1820,3,0,0,80
43,-1,1820,3,0,1,400
43,-1,1820,3,0,0,50
43,-1,1820,3,0,2,230
43,-1,1820,3,0,0,70
43,-1,1820,3,0,1,220
44,-1,1330,3,2,0,230
44,-1,1330,3,2,2,260
44,-1,1330,3,2,0,70
44,-1,1330,3,2,1,770
45,-1,960,3,2,0,320
45,-1,960,3,2,1,90
45,-1,960,3,2,0,70
