index, subj,d,s,theta,k
0,0,0.0037,0.085,0.35,0
1,1,0.004,0.075,0.4,0
2,2,0.0019,0.065,0.45,0
3,3,0.0034,0.06,0.5,0
4,4,0.0031,0.08,0.25,0
5,5,0.0029,0.08,0.2,0
6,6,0.0009,0.06,0.35,0
7,7,0.0023,0.07,0.35,0
8,8,0.0033,0.085,0.65,0
9,9,0.0034,0.08,0.6,0
10,10,0.004,0.1,0.3,0
11,11,0.0036,0.085,0.65,0
12,12,0.0027,0.07,0.65,0
13,13,0.002,0.065,0.4,0
14,14,0.0017,0.065,0.45,0
15,15,0.0036,0.09,0.45,0
16,16,0.005,0.095,0.35,0
17,17,0.0016,0.055,0.4,0
18,18,0.0036,0.085,0.4,0
19,19,0.0007,0.08,0.75,0
20,20,0.002,0.065,0.4,0
21,21,0.0014,0.06,0.4,0
22,22,0.0049,0.09,0.05,0
23,23,0.0018,0.06,0.2,0
24,24,0.0023,0.09,0.55,0
